transaction_id,transaction_date,product_id,product_name,product_category,unit_price,quantity,total_sales,store_id,store_location,customer_id,customer_age,customer_gender,payment_method,seasonal_factor,discount_applied,is_weekend,time_of_day
T3919694,2023-05-25 20:38:09.844136,P5930,Dress,Clothing,117.57,2,230.44,S13,Miami,C10053,28,F,Credit Card,0.98,False,False,Evening
T3846949,2023-11-08 13:27:13.737296,P2389,Vegetables,Groceries,10.17,4,59.8,S10,Miami,C97012,53,F,Debit Card,1.47,False,False,Afternoon
T8971465,2022-07-13 14:04:19.043261,P2193,Jeans,Clothing,125.52,2,281.16,S15,Houston,C92544,34,M,Debit Card,1.12,True,False,Afternoon
T2788238,2022-06-08 12:45:54.663348,P7965,Fruits,Groceries,7.92,2,13.62,S8,Los Angeles,C77889,24,F,Credit Card,0.86,False,False,Afternoon
T8425149,2023-12-11 18:15:39.143416,P9270,Lamp,Home Goods,239.1,4,1530.24,S14,Miami,C68446,43,F,Cash,1.6,False,False,Evening
T9130188,2023-01-15 19:31:42.830377,P4919,Fruits,Groceries,7.3,2,15.62,S9,Houston,C20155,22,F,Debit Card,1.07,False,True,Evening
T2077581,2023-01-04 13:17:33.441327,P7797,Sneakers,Clothing,29.91,2,56.83,S14,Chicago,C81121,37,F,Credit Card,0.95,False,False,Afternoon
T6901533,2023-07-30 10:13:16.717193,P5892,Fruits,Groceries,9.57,5,56.46,S13,Houston,C80545,18,F,Debit Card,1.18,True,True,Morning
T7783308,2022-12-02 18:51:43.208367,P3704,Bread,Groceries,6.27,3,27.46,S15,Los Angeles,C91560,21,F,Debit Card,1.46,True,False,Evening
T4048907,2023-08-16 09:01:51.087154,P1823,Decor,Home Goods,290.91,1,241.46,S9,Houston,C52906,36,F,Credit Card,0.83,False,False,Morning
T1873851,2023-12-15 15:21:25.898153,P6733,Fruits,Groceries,4.41,4,23.81,S8,New York,C95426,42,F,Credit Card,1.35,True,False,Afternoon
T4656838,2022-06-24 10:19:07.156799,P8619,Laptop,Electronics,341.19,1,293.42,S9,Chicago,C31992,36,F,Debit Card,0.86,True,False,Morning
T7296605,2022-10-27 12:09:24.382258,P7498,Lamp,Home Goods,393.34,1,377.61,S7,New York,C87607,33,F,Debit Card,0.96,False,False,Afternoon
T1689025,2022-09-28 13:06:06.486810,P6688,Eggs,Groceries,12.9,5,68.37,S18,Houston,C96706,31,F,Credit Card,1.06,False,False,Afternoon
T8713146,2023-01-03 18:41:24.839439,P3506,Jacket,Clothing,167.13,1,165.46,S14,Los Angeles,C78386,20,F,Mobile Pay,0.99,False,False,Evening
T5118725,2022-09-23 14:39:36.043012,P2419,Vegetables,Groceries,11.84,4,46.89,S9,Houston,C41963,27,M,Debit Card,0.99,False,False,Afternoon
T5635017,2023-07-22 16:21:51.482073,P1166,Headphones,Electronics,354.58,1,397.13,S17,Los Angeles,C21221,30,F,Credit Card,1.12,False,True,Afternoon
T2561176,2023-08-12 19:28:31.721254,P5820,Sneakers,Clothing,155.26,4,658.3,S8,Houston,C41890,45,F,Credit Card,1.06,False,True,Evening
T8612582,2023-03-13 16:28:26.231989,P5438,Fruits,Groceries,8.75,3,25.99,S10,Chicago,C40217,38,M,Credit Card,0.99,False,False,Afternoon
T9801946,2022-05-05 13:20:37.071741,P5636,Smartwatch,Electronics,1431.23,1,1345.36,S4,Los Angeles,C48829,18,M,Credit Card,0.94,False,False,Afternoon
T3118618,2022-11-09 10:15:22.273681,P9042,Smartphone,Electronics,872.98,1,1073.77,S4,New York,C85243,38,F,Credit Card,1.23,True,False,Morning
T2096280,2023-04-18 10:11:07.557308,P7565,Dress,Clothing,49.11,1,46.65,S16,New York,C85631,31,M,Debit Card,0.95,False,False,Morning
T7982241,2022-09-19 16:00:32.849539,P4697,Laptop,Electronics,1235.6,3,3410.26,S17,Houston,C69049,28,F,Cash,0.92,False,False,Afternoon
T4486102,2023-03-30 12:12:37.415401,P4457,Smartwatch,Electronics,1486.04,1,1515.76,S9,New York,C30585,41,F,Credit Card,1.02,False,False,Afternoon
T5833597,2022-05-21 16:12:49.924375,P5632,Bread,Groceries,1.04,4,4.33,S15,New York,C40595,45,M,Cash,1.04,False,True,Afternoon
T5842082,2023-08-08 13:27:12.597515,P8195,Laptop,Electronics,855.69,3,2900.79,S4,Houston,C49857,44,F,Debit Card,1.13,True,False,Afternoon
T5200476,2022-01-20 13:56:11.536311,P1423,Decor,Home Goods,195.43,4,719.18,S3,Los Angeles,C98381,26,F,Cash,0.92,True,False,Afternoon
T9706768,2023-05-21 09:45:21.965213,P8245,Milk,Groceries,14.99,3,45.87,S9,Los Angeles,C86720,31,M,Credit Card,1.02,False,True,Morning
T6533187,2022-01-03 10:22:01.699580,P7744,Milk,Groceries,7.58,4,29.41,S16,Chicago,C96846,38,F,Cash,0.97,False,False,Morning
T1019311,2022-08-02 18:02:34.996388,P9889,Dress,Clothing,61.69,1,73.41,S15,Houston,C17104,44,F,Credit Card,1.19,False,False,Evening
T8350368,2022-04-10 14:40:23.719679,P8941,Jacket,Clothing,130.7,1,122.86,S4,New York,C92578,30,F,Debit Card,0.94,False,True,Afternoon
T8741810,2022-02-09 13:45:48.046250,P2924,Smartwatch,Electronics,119.14,4,438.44,S5,Houston,C48254,33,F,Debit Card,0.92,False,False,Afternoon
T5634662,2022-05-22 14:26:11.519494,P7798,Fruits,Groceries,3.75,5,17.44,S11,Miami,C45018,23,F,Cash,0.93,True,True,Afternoon
T6577416,2022-07-26 14:46:56.573868,P9903,Smartwatch,Electronics,911.89,1,1048.67,S13,Houston,C52176,23,F,Cash,1.15,False,False,Afternoon
T3551903,2023-09-06 13:36:52.692174,P9115,Jacket,Clothing,23.07,4,95.97,S2,Los Angeles,C75836,43,M,Mobile Pay,1.04,False,False,Afternoon
T5446344,2022-12-22 15:55:24.096177,P6546,Tablet,Electronics,203.66,4,985.71,S20,Houston,C95175,48,M,Credit Card,1.21,True,False,Afternoon
T1602286,2022-11-26 15:09:44.798826,P2121,Sneakers,Clothing,85.3,3,404.32,S8,Chicago,C39817,34,F,Debit Card,1.58,False,True,Afternoon
T7288789,2022-05-11 16:06:48.959415,P8056,Milk,Groceries,6.49,3,21.03,S5,Los Angeles,C79621,45,M,Credit Card,1.08,True,False,Afternoon
T9349470,2022-10-22 12:42:36.289054,P3344,Bread,Groceries,3.38,1,3.45,S8,Houston,C93611,38,F,Credit Card,1.02,False,True,Afternoon
T6797629,2022-07-07 18:27:24.797362,P5901,Smartphone,Electronics,1358.47,1,1249.79,S14,Chicago,C69878,28,M,Cash,0.92,False,False,Evening
T5953150,2022-10-31 16:37:12.193277,P1359,Tablet,Electronics,1294.67,1,1268.78,S13,Chicago,C11061,38,M,Debit Card,0.98,False,False,Afternoon
T4860745,2023-12-09 11:52:02.381842,P6772,Milk,Groceries,13.75,4,93.5,S8,Los Angeles,C91381,50,F,Credit Card,1.7,False,True,Morning
T3204724,2022-01-18 10:43:23.195822,P2476,Bread,Groceries,9.8,1,9.41,S10,Chicago,C64460,34,F,Credit Card,0.96,False,False,Morning
T9084065,2022-08-04 12:50:13.678998,P5835,Dress,Clothing,113.21,3,383.78,S11,New York,C71385,50,F,Mobile Pay,1.13,False,False,Afternoon
T3073474,2022-05-31 12:48:55.260964,P8451,Cookware,Home Goods,484.29,2,939.52,S12,Chicago,C86619,18,M,Credit Card,0.97,False,False,Afternoon
T8789116,2022-01-31 15:06:15.923688,P5951,Fruits,Groceries,1.35,5,6.55,S14,New York,C28320,43,F,Credit Card,0.97,False,False,Afternoon
T8031780,2023-01-28 10:19:40.198995,P3531,Lamp,Home Goods,66.65,5,309.92,S14,New York,C74139,35,F,Debit Card,0.93,False,True,Morning
T7017548,2022-12-30 14:02:22.716918,P1992,Bread,Groceries,5.77,2,19.73,S13,Chicago,C34878,32,F,Mobile Pay,1.71,True,False,Afternoon
T4442778,2023-10-20 17:05:36.825828,P2124,Vegetables,Groceries,14.6,1,15.48,S18,Los Angeles,C86858,35,M,Credit Card,1.06,False,False,Afternoon
T2844258,2023-03-29 13:21:55.064749,P1422,Vegetables,Groceries,1.04,2,2.29,S5,New York,C56955,18,F,Debit Card,1.1,False,False,Afternoon
T2066326,2023-08-10 18:23:26.893312,P8802,Headphones,Electronics,122.09,3,300.34,S15,Chicago,C77271,32,F,Debit Card,0.82,False,False,Evening
T9035982,2023-09-04 17:32:34.961313,P7580,Smartwatch,Electronics,160.71,5,771.41,S14,New York,C74260,38,M,Debit Card,0.96,False,False,Afternoon
T6455706,2022-03-24 17:04:15.122561,P7240,Bedding,Home Goods,311.98,1,299.5,S20,Miami,C48652,49,F,Credit Card,0.96,False,False,Afternoon
T4833486,2023-07-09 16:06:45.913418,P7779,Milk,Groceries,12.94,5,70.52,S11,Houston,C62262,29,F,Credit Card,1.09,False,True,Afternoon
T2432176,2023-10-03 11:20:45.614745,P2527,Dress,Clothing,84.25,2,175.24,S14,New York,C58843,26,M,Cash,1.04,False,False,Morning
T8095702,2023-05-05 18:03:17.540501,P1842,Vegetables,Groceries,8.86,1,8.68,S10,Miami,C50953,29,F,Credit Card,0.98,False,False,Evening
T5673599,2022-06-16 16:53:45.669444,P4705,Bread,Groceries,2.54,4,9.04,S14,Miami,C91490,44,M,Debit Card,0.89,True,False,Afternoon
T6701311,2023-08-31 18:18:16.337619,P6751,Milk,Groceries,9.53,3,23.16,S1,Los Angeles,C28776,38,F,Debit Card,0.81,False,False,Evening
T7208460,2023-05-11 16:04:08.044168,P6105,Smartphone,Electronics,228.46,5,1073.76,S11,Miami,C88148,29,M,Credit Card,0.94,False,False,Afternoon
T8416270,2022-12-22 10:09:16.707434,P7785,Smartwatch,Electronics,169.67,1,230.75,S9,Los Angeles,C77154,40,F,Credit Card,1.36,False,False,Morning
T7631419,2023-05-25 15:55:18.121908,P1897,Dress,Clothing,140.47,5,702.35,S1,Los Angeles,C49507,35,M,Cash,1.0,False,False,Afternoon
T7378822,2022-08-06 11:47:30.210818,P9725,Eggs,Groceries,5.05,1,4.04,S8,Miami,C83233,44,M,Cash,0.8,False,True,Morning
T6252285,2023-10-16 11:50:02.009441,P8033,Milk,Groceries,6.56,1,6.49,S19,Houston,C93904,27,M,Credit Card,0.99,False,False,Morning
T7070880,2022-03-15 20:11:47.137629,P2443,Smartphone,Electronics,1452.68,1,1583.42,S14,New York,C41891,31,F,Credit Card,1.09,False,False,Evening
T4253164,2023-12-10 16:33:26.461403,P6724,Headphones,Electronics,1029.72,1,1719.63,S12,Los Angeles,C40968,31,F,Credit Card,1.67,True,True,Afternoon
T8531380,2023-09-12 14:12:15.752565,P6295,Laptop,Electronics,1164.3,1,1094.44,S11,Los Angeles,C67640,20,F,Credit Card,0.94,False,False,Afternoon
T1954456,2022-06-15 17:40:06.927270,P7041,Dress,Clothing,124.41,3,373.23,S10,New York,C94497,37,F,Cash,1.0,False,False,Afternoon
T4158134,2023-02-18 11:39:00.945721,P6267,Fruits,Groceries,7.48,5,40.77,S20,Houston,C75715,37,M,Credit Card,1.09,False,True,Morning
T9792411,2023-02-27 10:28:20.479993,P9564,Headphones,Electronics,1032.74,1,1063.72,S20,Los Angeles,C57696,35,F,Credit Card,1.03,True,False,Morning
T6531293,2023-02-26 13:50:27.626752,P2548,Tablet,Electronics,1184.25,1,1077.67,S18,Houston,C47243,32,M,Credit Card,0.91,False,True,Afternoon
T7575963,2022-10-09 12:11:41.219483,P3112,Decor,Home Goods,351.34,1,358.37,S20,New York,C50577,20,M,Debit Card,1.02,True,True,Afternoon
T4593556,2022-06-17 15:52:59.143094,P6598,Smartwatch,Electronics,184.66,4,738.64,S16,Los Angeles,C39693,30,M,Mobile Pay,1.0,True,False,Afternoon
T1633297,2023-10-22 12:52:02.655031,P6517,Headphones,Electronics,1282.2,1,1346.31,S20,Los Angeles,C88282,31,F,Credit Card,1.05,False,True,Afternoon
T4985095,2022-05-19 10:18:52.501569,P8277,Smartwatch,Electronics,1232.66,1,1220.33,S20,Chicago,C68841,26,F,Credit Card,0.99,False,False,Morning
T5727345,2022-02-21 13:19:34.146857,P7256,Cookware,Home Goods,453.91,1,472.07,S17,Miami,C64874,33,M,Mobile Pay,1.04,False,False,Afternoon
T2721170,2022-06-06 09:56:46.978017,P9452,Vegetables,Groceries,2.94,3,7.23,S4,Chicago,C20993,39,M,Debit Card,0.82,False,False,Morning
T6865064,2023-03-10 15:07:04.851282,P1436,Smartwatch,Electronics,306.29,1,333.86,S14,New York,C61964,53,F,Debit Card,1.09,False,False,Afternoon
T3450300,2023-08-05 13:24:15.821820,P3254,Bedding,Home Goods,127.78,3,448.51,S2,Chicago,C71925,36,F,Debit Card,1.17,False,True,Afternoon
T9854536,2023-09-30 08:47:15.379118,P7934,Tablet,Electronics,728.04,1,669.8,S4,Chicago,C41147,37,F,Credit Card,0.92,False,True,Morning
T9646569,2023-01-29 10:15:01.695152,P4963,Sneakers,Clothing,99.57,1,106.54,S5,Chicago,C66261,34,F,Credit Card,1.07,False,True,Morning
T9511546,2022-12-26 16:03:10.974413,P9316,Sneakers,Clothing,92.07,1,139.03,S18,New York,C61177,18,F,Cash,1.51,False,False,Afternoon
T2739191,2023-04-21 10:40:39.116615,P6447,Dress,Clothing,52.64,1,51.06,S5,New York,C56176,34,F,Debit Card,0.97,True,False,Morning
T8678589,2022-12-23 12:53:57.909612,P1605,Fruits,Groceries,14.73,4,93.09,S10,Los Angeles,C15741,35,M,Debit Card,1.58,False,False,Afternoon
T4206183,2022-03-05 20:13:53.010338,P5687,Bedding,Home Goods,468.02,1,514.82,S12,New York,C95948,59,M,Credit Card,1.1,False,True,Evening
T9712003,2022-04-23 11:51:25.455008,P5369,Jacket,Clothing,106.76,4,414.23,S3,Houston,C20345,33,M,Credit Card,0.97,True,True,Morning
T8481225,2022-07-28 13:01:23.436280,P7981,Chair,Home Goods,281.83,3,710.21,S6,Houston,C56077,38,M,Credit Card,0.84,False,False,Afternoon
T9608154,2022-09-06 15:39:33.683426,P3621,Bedding,Home Goods,326.95,2,595.05,S1,Los Angeles,C89635,34,M,Debit Card,0.91,False,False,Afternoon
T3574265,2022-01-23 09:59:10.147054,P8371,Jeans,Clothing,27.44,3,79.85,S12,Chicago,C68188,23,M,Debit Card,0.97,False,True,Morning
T7492570,2022-07-22 12:33:17.969751,P2929,Dress,Clothing,114.89,2,271.14,S9,Chicago,C68493,46,F,Credit Card,1.18,True,False,Afternoon
T8467726,2022-05-17 14:34:54.619493,P2438,Fruits,Groceries,3.8,2,8.13,S11,Chicago,C18511,42,F,Debit Card,1.07,False,False,Afternoon
T9535505,2023-01-04 13:26:33.511068,P4673,Headphones,Electronics,1291.91,2,2816.36,S4,Los Angeles,C28202,42,F,Credit Card,1.09,False,False,Afternoon
T2446455,2022-02-19 08:44:41.837979,P2077,Dress,Clothing,117.49,3,348.95,S10,Houston,C72739,25,M,Debit Card,0.99,False,True,Morning
T4052834,2023-10-12 16:52:20.986913,P3114,Bread,Groceries,14.61,1,14.46,S14,Miami,C17263,49,M,Cash,0.99,False,False,Afternoon
T2323049,2023-02-21 18:09:06.774706,P5105,Jeans,Clothing,74.69,2,144.9,S7,Miami,C45972,20,F,Credit Card,0.97,False,False,Evening
T1691125,2023-08-21 14:39:33.856514,P1464,Sneakers,Clothing,106.86,5,630.47,S3,New York,C94076,40,F,Debit Card,1.18,True,False,Afternoon
T5859883,2023-07-31 20:07:00.029206,P5949,Laptop,Electronics,1173.74,1,1244.16,S16,Los Angeles,C99783,56,F,Credit Card,1.06,False,False,Evening
T6244264,2023-08-04 19:04:55.338034,P6231,T-Shirt,Clothing,44.24,4,175.19,S12,Houston,C27139,25,F,Debit Card,0.99,False,False,Evening
T8015136,2022-03-14 18:35:54.598193,P5067,Laptop,Electronics,602.45,1,572.33,S6,Chicago,C85718,29,F,Debit Card,0.95,True,False,Evening
T7597509,2022-01-14 18:02:18.618815,P9281,Laptop,Electronics,797.57,1,797.57,S15,Los Angeles,C38199,35,M,Debit Card,1.0,False,False,Evening
T8229768,2023-05-27 10:03:24.684814,P3194,Smartwatch,Electronics,1335.28,1,1321.93,S9,Chicago,C62855,29,F,Credit Card,0.99,False,True,Morning
T5692934,2023-07-03 16:03:33.107063,P2946,Bread,Groceries,6.08,3,15.14,S5,New York,C61629,19,F,Credit Card,0.83,False,False,Afternoon
T1760064,2023-05-12 20:31:32.265549,P1637,Decor,Home Goods,470.7,2,884.92,S5,Chicago,C72094,35,F,Debit Card,0.94,False,False,Evening
T6020319,2022-12-20 12:38:17.753402,P6511,Chair,Home Goods,177.42,5,1233.07,S17,Miami,C79774,24,F,Credit Card,1.39,False,False,Afternoon
T1447065,2022-09-22 20:19:59.109002,P8775,Fruits,Groceries,8.69,3,25.29,S9,Miami,C85711,39,F,Credit Card,0.97,True,False,Evening
T5063384,2023-01-10 10:37:24.565507,P1517,Sneakers,Clothing,131.37,5,689.69,S19,New York,C35006,25,F,Credit Card,1.05,False,False,Morning
T2044906,2022-08-25 20:42:51.285741,P3262,Jeans,Clothing,91.4,2,175.49,S17,Los Angeles,C83516,50,F,Credit Card,0.96,False,False,Evening
T5435261,2023-07-14 17:33:59.356182,P8932,Jeans,Clothing,100.04,5,470.19,S7,Los Angeles,C46569,27,F,Debit Card,0.94,False,False,Afternoon
T5587856,2023-10-08 13:19:50.318396,P5715,Bread,Groceries,10.66,4,40.93,S4,Miami,C98686,31,F,Debit Card,0.96,False,True,Afternoon
T2325893,2023-10-26 15:47:42.094078,P6674,Cookware,Home Goods,412.82,3,1312.77,S15,Chicago,C72793,43,M,Credit Card,1.06,False,False,Afternoon
T5067770,2023-01-21 18:41:19.590902,P1831,Eggs,Groceries,14.06,3,39.23,S17,Los Angeles,C93616,22,F,Credit Card,0.93,False,True,Evening
T7826774,2023-04-23 11:26:54.895761,P8793,Jacket,Clothing,33.6,2,60.48,S16,Los Angeles,C47649,37,F,Credit Card,0.9,False,True,Morning
T3937099,2022-01-16 12:00:58.913232,P7846,Milk,Groceries,10.13,2,20.46,S6,New York,C62034,48,F,Debit Card,1.01,False,True,Afternoon
T9796605,2023-08-13 09:19:34.702947,P9092,Headphones,Electronics,1061.95,1,1093.81,S5,Miami,C71344,18,M,Credit Card,1.03,True,True,Morning
T6655803,2022-12-28 15:57:43.154778,P5833,Eggs,Groceries,3.27,4,20.8,S19,Los Angeles,C33002,36,M,Debit Card,1.59,False,False,Afternoon
T3359075,2023-05-09 15:07:08.591541,P8822,Fruits,Groceries,12.58,5,61.01,S11,Los Angeles,C10895,37,M,Credit Card,0.97,False,False,Afternoon
T2042273,2022-09-04 20:56:11.299444,P2936,Headphones,Electronics,1148.52,1,1194.46,S15,Chicago,C30934,42,F,Credit Card,1.04,True,True,Evening
T9022561,2022-02-27 12:58:50.189781,P3509,Dress,Clothing,142.7,3,415.26,S15,Miami,C58971,22,F,Credit Card,0.97,False,True,Afternoon
T2373555,2022-01-10 08:29:35.191347,P9609,Jacket,Clothing,155.11,2,325.73,S15,Miami,C57419,21,F,Credit Card,1.05,False,False,Morning
T9729882,2022-03-19 19:58:57.949533,P8239,Milk,Groceries,12.6,5,59.22,S4,Los Angeles,C86434,40,M,Credit Card,0.94,False,True,Evening
T8757420,2023-11-17 13:36:24.517322,P6049,Cookware,Home Goods,408.17,1,616.34,S1,Houston,C43352,37,M,Cash,1.51,False,False,Afternoon
T8920040,2022-05-21 13:37:42.981627,P1519,Tablet,Electronics,582.34,1,640.57,S10,Houston,C33590,37,M,Debit Card,1.1,False,True,Afternoon
T3231198,2022-12-16 16:23:00.509905,P6697,Cookware,Home Goods,235.3,4,1345.92,S4,Los Angeles,C80419,38,F,Credit Card,1.43,False,False,Afternoon
T7363203,2022-04-02 12:46:11.523044,P4762,Lamp,Home Goods,382.97,3,1137.42,S8,Houston,C55371,28,M,Credit Card,0.99,False,True,Afternoon
T5037710,2023-03-07 13:59:50.630419,P4376,Lamp,Home Goods,35.46,4,144.68,S3,New York,C87849,37,F,Credit Card,1.02,False,False,Afternoon
T9453969,2022-04-09 10:15:09.176661,P5739,Fruits,Groceries,7.15,5,33.6,S8,Miami,C51799,37,M,Debit Card,0.94,False,True,Morning
T5616316,2023-09-25 13:41:48.891013,P1998,Eggs,Groceries,4.32,2,9.5,S18,Miami,C32955,27,M,Debit Card,1.1,False,False,Afternoon
T3503456,2023-11-10 16:35:01.339528,P5913,Dress,Clothing,189.19,4,1263.79,S13,Los Angeles,C80507,53,M,Credit Card,1.67,False,False,Afternoon
T3249703,2023-11-21 13:19:06.394559,P7363,Chair,Home Goods,406.77,3,1879.28,S8,Chicago,C36651,39,F,Credit Card,1.54,False,False,Afternoon
T1663497,2022-09-06 12:46:27.873028,P2192,Tablet,Electronics,1028.79,1,1069.94,S7,Miami,C98008,23,M,Debit Card,1.04,True,False,Afternoon
T9034958,2023-09-07 15:43:52.777220,P4974,Dress,Clothing,63.98,1,60.14,S20,Los Angeles,C61987,41,F,Cash,0.94,True,False,Afternoon
T9342928,2022-06-11 14:17:27.015458,P8635,Eggs,Groceries,6.33,5,33.55,S4,Houston,C51973,25,M,Cash,1.06,False,True,Afternoon
T4291551,2023-10-16 12:24:34.154132,P6404,Jacket,Clothing,16.42,2,34.48,S8,Houston,C84683,42,M,Cash,1.05,True,False,Afternoon
T3822492,2023-10-27 10:52:08.259506,P6770,Dress,Clothing,62.61,4,272.98,S6,Los Angeles,C81636,46,F,Credit Card,1.09,False,False,Morning
T1813936,2022-04-10 13:47:10.027140,P1104,Decor,Home Goods,495.36,3,1486.08,S14,Los Angeles,C92667,26,M,Credit Card,1.0,False,True,Afternoon
T9184838,2022-12-09 12:00:05.300193,P1257,Tablet,Electronics,622.48,1,995.97,S1,Miami,C82305,44,F,Credit Card,1.6,False,False,Afternoon
T4007598,2022-05-05 10:33:11.160251,P2753,Vegetables,Groceries,14.68,1,14.68,S4,Miami,C29516,39,M,Credit Card,1.0,False,False,Morning
T5080351,2022-03-06 12:04:46.221818,P4700,Eggs,Groceries,8.69,3,27.63,S10,New York,C95686,43,F,Mobile Pay,1.06,True,True,Afternoon
T8279795,2022-03-02 10:05:28.059694,P6427,Jacket,Clothing,117.25,1,120.77,S19,New York,C79226,53,M,Cash,1.03,False,False,Morning
T1552000,2023-09-29 13:13:57.640546,P3938,Decor,Home Goods,248.24,1,268.1,S11,New York,C37152,32,M,Debit Card,1.08,False,False,Afternoon
T7528964,2022-05-29 19:29:12.945294,P9856,Fruits,Groceries,14.0,3,39.06,S11,Houston,C28343,27,F,Debit Card,0.93,False,True,Evening
T6475691,2023-11-15 11:32:04.395679,P1485,Eggs,Groceries,1.22,4,6.54,S9,Houston,C74304,26,F,Credit Card,1.34,True,False,Morning
T2233237,2023-07-01 18:24:02.103292,P2344,Sneakers,Clothing,137.22,1,152.31,S9,Los Angeles,C59807,26,M,Debit Card,1.11,False,True,Evening
